request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_37,1766845.42,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Please pay the full amount of IDR 14,649,000 on 15 May 2024. Paying before this date would reduce the balance below the required minimum of IDR 17,056,200."
request_38,207.7925,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Please pay the full amount of EUR 971.30 on 15 October 2025. If you pay earlier, the remaining balance would fall below the minimum required amount of EUR 400."
request_39,130190.5925,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Make a full payment of INR 208,600 on 15 April 2026. Paying before this date would reduce the balance to less than the required minimum of INR 213,400."
request_40,310.335,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Please pay the full amount of EUR 1,290.30 on 15 August 2024. Paying before this date would reduce the balance below the required minimum of EUR 1,500."
request_41,8360087.1775,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Make a full payment of IDR 38,760,000 on 15 November 2025. Paying before this date would reduce the balance to less than the required minimum of IDR 25,366,600."
request_42,5526.6675,affordable_later,wait,2026-03-05:52100,2026-03-05,none,"Make a full payment of INR 52,100 on 5 March 2026. Paying before this date would reduce the balance to less than the required minimum of INR 113,100."
request_43,8132047.9125,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Please pay the full amount of IDR 43,339,000 on 15 November 2024. Making a payment before this date would reduce the balance below the minimum required amount of IDR 21,398,000."
request_44,29438.7025,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Please pay the full amount of INR 95,800 on 15 February 2025. Making a payment before this date would reduce the balance to less than the required minimum of INR 82,900."
request_45,4467283.945,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Please pay the full amount of IDR 21,983,000 on 15 September 2026. Making a payment before this date would reduce the balance below the required minimum of IDR 11,149,800."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 3 December 2024. This leaves at least INR 84,000 available."
request_47,37185289.15,affordable_with_plan,full_payment,2025-05-05:38114000,,stop:event_4339,"Cancel the music service subscription, and then make a payment of IDR 38,114,000 today. After this payment, you will still have at least IDR 30,049,000 remaining."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Make a payment of INR 45,700 today. After this payment, you will still have at least INR 71,300 available to use over the next 90 days."
request_49,12059874.6175,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-04,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Make a payment of INR 43,900 today. After this payment, you will still have at least INR 99,700 available to use over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Make a payment of IDR 2,191,000 today. After this payment, you will still have at least IDR 7,811,000 available to use over the next 90 days."
request_52,23291.21,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Please pay the full amount of INR 28,870 on 15 June 2024. Paying before this date would reduce the balance to less than the required minimum of INR 41,500."
request_53,450.125,not_affordable,not_recommended,none,,none,"Avoid making this payment by 20 January 2026, as none of the options available will maintain the minimum protection of USD 2,100."
request_54,5042.6325,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options will maintain the minimum protected amount of ZAR 37,000."
request_55,137331.0175,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 August 2026. None of the available options will maintain the minimum protected amount of INR 124,300."
request_56,603.6675,affordable_with_plan,partial_payment,2025-02-03:603.67|2025-02-15:277.89,2025-02-15,none,"Please pay USD 603.67 today and the remaining USD 277.89 on 15 February 2025. This will complete the full request and ensure that the USD 2,100 minimum is protected."
request_57,12472.89,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Make a full payment of ZAR 61,446 on 15 June 2026. Paying before this date would reduce the balance to less than the required minimum of ZAR 42,700."
request_58,145355.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options will maintain the minimum protected amount of IDR 14,433,900."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,125.235,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Please pay the full amount of USD 199.89 on 15 February 2026. Paying before this date would reduce the balance below the required minimum of USD 400.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Make a payment of USD 404.23 today. After this payment, you will still have at least USD 1,300 available to use over the next 90 days."
request_63,33376.825,affordable_with_plan,partial_payment,2026-07-07:33376.82|2026-07-15:310523.18,2026-07-15,none,"Make a payment of INR 33,376.82 today, and pay the remaining INR 310,523.18 on 15 July 2026. This will fulfill the entire request and ensure that the minimum amount of INR 153,500 remains protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options will maintain the minimum protected amount of INR 36,100."
request_65,6850.0275,not_affordable,not_recommended,none,,none,"Do not approve the request for ZAR 54,340. Even though ZAR 6,850.03 is available today, it is not possible to safely complete the full amount within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Make a payment of INR 22,200 today. After this payment, you will still have at least INR 80,700 available to use over the next 90 days."
request_67,356.5725,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Please pay the full amount of USD 2,094 on 15 November 2024. Paying before this date would reduce the balance to less than the required minimum of USD 1,200."
request_68,1291.785,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options will maintain the minimum protection of USD 1,500."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Make a payment of EUR 529.10 today. After this payment, you will still have at least EUR 700 available to use over the next 90 days."
request_70,48713.22,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Make a full payment of INR 243,900 on 15 February 2025. Paying before this date would reduce the balance to less than the required minimum of INR 115,000."
request_71,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options will maintain the minimum protected amount of IDR 8,884,800."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Make a payment of ZAR 11,330 today. After this payment, you will still have at least ZAR 12,200 available to use over the next 90 days."
request_73,69807.7325,affordable_with_plan,full_payment,2023-01-20:71400,2023-02-15,stop:event_6790|reduce_to:event_6789:1425,"Cancel the cloud storage plan and lower the streaming subscription to INR 1,425. Then, make a payment of INR 71,400 today. After these actions, you will still have at least INR 103,200 remaining."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Make a payment of ZAR 5,010 today. After this payment, you will still have at least ZAR 21,900 available to use over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,658.0475,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options will maintain the USD 1,800 minimum protection."
request_77,58316.1375,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Make a full payment of INR 60,700 on 15 November 2025. Paying before this date would reduce the balance to less than the required minimum of INR 82,200."
request_78,44148.75,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Please pay the full amount of INR 50,200 on 15 October 2025. If you pay earlier, your balance will fall below the minimum required amount of INR 55,200."
request_79,610.0442,not_affordable,not_recommended,none,,none,"Do not approve the EUR 2,151.60 request. While EUR 610.04 is available today, it is not possible to safely provide the full amount within 90 days."
request_80,107789.825,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options will maintain the minimum protected amount of INR 121,300."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Make a payment of USD 2,076 today. After this payment, you will still have at least USD 1,600 available to use over the next 90 days."
request_82,327.0175,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Please pay the full amount of USD 1,405.20 on 15 February 2025. Paying before this date would reduce the balance below the required minimum of USD 1,100."
request_83,6597.4575,not_affordable,not_recommended,none,,none,"Avoid making this payment by 17 June 2025, as none of the options available will maintain the minimum protection of INR 37,800."
request_84,19799.91,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Make a full payment of INR 95,400 on 15 June 2026. Paying before this date would reduce the balance to less than the required minimum of INR 91,300."
request_85,734375.3525,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options will maintain the minimum protected amount of IDR 6,396,300."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Make a payment of INR 46,300 today. After this payment, you will still have at least INR 84,900 available to use over the next 90 days."
request_87,13817.455,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options will maintain the minimum protected amount of INR 185,900."
request_88,10602.61,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9151967.0625,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options will maintain the minimum protected amount of IDR 12,534,700."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Make a payment of ZAR 2,560 today. After this payment, you will still have at least ZAR 7,600 available to use over the next 90 days."
request_91,384.6625,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Please pay the full amount of EUR 1,927.20 on 15 November 2024. Making a payment before this date would reduce the balance below the required minimum of EUR 2,100."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Make a payment of ZAR 34,034 today. After this payment, you will still have at least ZAR 28,100 available to use over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Make a payment of USD 1,729.20 today. After this payment, you will still have at least USD 1,900 available for the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Make a payment of EUR 572 today. After this payment, you will still have at least EUR 600 available to use within the next 90 days."
request_95,10941.995,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options will maintain the minimum protected amount of INR 145,500."
request_96,72559.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 March 2026. None of the available options will maintain the minimum protected amount of INR 56,500."
request_97,1285.2875,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,8947.7825,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Make a full payment of ZAR 27,148 on 15 October 2025. Paying before this date would reduce the balance to less than the required minimum of ZAR 30,000."
request_99,16679.965,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9188:525.80|reduce_to:event_9232:1065.90,"Lower the cost of the family streaming plan to ZAR 525.80 and the family dinner expense to ZAR 1,065.90. Then, make a payment of ZAR 18,062 today. After these actions, you will have at least ZAR 49,100 remaining."
request_100,24507.395,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options will maintain the minimum protected amount of ZAR 32,500."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Make a payment of INR 143,500 today. After this payment, you will still have at least INR 187,400 available for the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,8672.0675,affordable_later,wait,2024-10-15:368300,2024-10-15,none,"Make a full payment of INR 368,300 on 15 October 2024. Paying before this date would reduce the balance to less than the required minimum of INR 125,500."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Make a payment of ZAR 17,204 today. After this payment, you will still have at least ZAR 24,700 available to use over the next 90 days."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Make a payment of INR 53,500 today. After this payment, you will still have at least INR 73,900 available for use during the next 90 days."
request_106,978.74,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Please pay the full amount of EUR 2,207.70 on 15 January 2025. Making a payment before this date would reduce the balance below the required minimum of EUR 1,200."
request_107,2395.2375,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-06-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,1451.1925,affordable_later,wait,2026-09-15:55308,2026-09-15,none,"Make a full payment of ZAR 55,308 on 15 September 2026. Paying before this date would reduce the balance to less than the required minimum of ZAR 24,100."
request_109,518.2325,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options will maintain the minimum protected amount of EUR 1,700."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Make a payment of IDR 16,625,000 today. After this payment, you will still have at least IDR 23,022,800 available for the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,"Make a payment of EUR 271.70 today. After this payment, you will still have at least EUR 500 available to use over the next 90 days."
request_113,22590.6975,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Make a full payment of INR 36,500 on 15 October 2026. Paying before this date would reduce the balance to less than the required minimum of INR 82,300."
request_114,57031.51,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Make a full payment of INR 65,300 on 15 January 2026. Paying before this date would reduce the balance to less than the required minimum of INR 113,400."
request_115,14514.7625,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Please pay the full amount of INR 80,500 on 15 November 2024. Making a payment before this date would reduce the balance to less than the required minimum of INR 38,800."
request_116,6076.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options will maintain the minimum protected amount of INR 80,300."
request_117,845.66,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10833:11|reduce_to:event_10878:20.50,"Lower the cost of the family streaming plan to EUR 11 and the weekend food delivery to EUR 20.50. After making these adjustments, pay EUR 880 today. This will ensure that you still have at least EUR 1,000 remaining."
request_118,709.985,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,57973.22,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options will maintain the minimum protected amount of INR 151,200."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Make a payment of IDR 7,714,000 today. After this payment, you will still have at least IDR 20,050,300 available to use over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Make a payment of USD 633.60 today. After this payment, you will still have at least USD 800 available for use over the next 90 days."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Make a payment of IDR 4,076,000 today. After this payment, you will still have at least IDR 18,091,200 available for the next 90 days."
request_124,1374.9075,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options will maintain the minimum protected amount of EUR 1,600."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Make a payment of ZAR 6,468 today. After this payment, you will still have at least ZAR 11,300 available to use over the next 90 days."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Make a payment of INR 159,600 today. After this payment, you will still have at least INR 129,700 available for the next 90 days."
request_127,8240.695,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Please pay the full amount of ZAR 23,980 on 15 October 2024. Paying before this date would reduce the balance below the required minimum of ZAR 41,000."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Make a payment of ZAR 25,168 today. After this payment, you will still have at least ZAR 42,600 available to use over the next 90 days."
request_129,106.1725,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options will maintain the USD 800 minimum protection.
request_130,417.0575,affordable_later,wait,2025-01-06:1978.80,2025-01-06,none,"Please pay the full amount of USD 1,978.80 on 6 January 2025. Paying before this date would reduce the balance below the required minimum of USD 1,400."
request_131,1165.53,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,289.4275,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Please pay the full amount of USD 379.86 on 15 February 2026. Paying before this date would reduce the balance to less than the required minimum of USD 1,100."
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options will maintain the minimum protected amount of IDR 9,986,200."
request_134,4782066.9625,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Please pay the full amount of IDR 21,831,000 on 15 October 2025. Making a payment before this date would reduce the balance below the required minimum of IDR 15,902,500."
request_135,264.9575,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12458:17.50|stop:event_12413,"Cut your lunch expenses with colleagues to USD 17.50 and cancel the video streaming subscription. Then, make a payment of USD 304.80 today. After these actions, you will still have at least USD 500 remaining."
request_136,521.4975,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Cut the household shopping expenses to USD 27.20, and then make a payment of USD 560.40 today. After these payments, you will still have at least USD 1,100 remaining."
request_137,14760.2325,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Make a full payment of INR 80,100 on 15 January 2026. Paying before this date would reduce the balance to less than the required minimum of INR 71,800."
request_138,878.3425,affordable_with_plan,partial_payment,2026-04-07:878.34|2026-04-15:378.60,2026-04-15,none,"Please pay EUR 878.34 today and the remaining EUR 378.60 on 15 April 2026. This will complete the full request and ensure that the EUR 2,300 minimum remains protected."
request_139,1863.8275,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,1172.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options will keep the minimum amount of ZAR 21,600 protected."
request_141,20584.7625,not_affordable,not_recommended,none,,none,"Do not approve the INR 171,600 request. Even though INR 20,584.76 is available today, it is not possible to safely secure the full amount within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Make a payment of USD 1,263.60 today. After this payment, you will still have at least USD 1,700 available to use over the next 90 days."
request_143,2879.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Make a full payment of ZAR 12,584 on 15 July 2025. Paying before this date would reduce the balance to less than the required minimum of ZAR 11,300."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Make a payment of USD 233.34 today. After this payment, you will still have at least USD 600 available for the next 90 days."
request_145,40068.575,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options will maintain the minimum protected amount of INR 155,400."
request_146,14360.45,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options will maintain the minimum protection of INR 108,600."
request_147,451.8825,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,6840.115,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 August 2024. None of the available options will maintain the minimum protected amount of ZAR 20,000."
request_149,21478.2275,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 January 2026. None of the available options will maintain the minimum protected amount of ZAR 42,100."
request_150,243.9545,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options will maintain the EUR 700 minimum protection.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Make a payment of IDR 26,999,000 today. After this payment, you will still have at least IDR 31,633,600 available for the next 90 days."
request_152,11747.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 April 2025. None of the available options will maintain the minimum protected amount of ZAR 11,900."
request_153,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options will maintain the USD 1,400 minimum protection."
request_154,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options will maintain the minimum protected amount of EUR 1,300."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Make a payment of INR 112,500 today. After this payment, you will still have at least INR 56,300 available for the next 90 days."
request_156,8305.205,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Make a full payment of ZAR 43,076 on 15 June 2026. Paying before this date would reduce the balance to less than the minimum required amount of ZAR 26,900."
request_157,4412913.3525,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Please pay the full amount of IDR 23,503,000 on 15 May 2024. Paying before this date would reduce the balance below the minimum required amount of IDR 15,714,100."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,5485.4175,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options maintains the minimum protected amount of ZAR 8,700."
request_160,565.2525,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,5231090.45,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Please pay the full amount of IDR 21,204,000 on 15 January 2026. Paying before this date would reduce the balance below the required minimum of IDR 23,010,400."
request_162,910915.8775,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options will maintain the minimum protected amount of IDR 24,161,100."
request_163,9363893.5275,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options will maintain the minimum protected amount of IDR 26,728,700."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Make a payment of INR 80,600 today. After this payment, you will still have at least INR 95,000 available to use within the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Make three payments of USD 1,007.97 each, beginning on December 3, 2024. After these payments, you will still have at least USD 1,700 remaining."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Make a payment of ZAR 43,802 today. After this payment, you will still have at least ZAR 31,200 available to use over the next 90 days."
request_168,29784.3225,affordable_with_plan,partial_payment,2026-01-07:29784.32|2026-01-15:19595.68,2026-01-15,none,"Please pay INR 29,784.32 today, and then pay the remaining INR 19,595.68 on 15 January 2026. This will fulfill the entire request and ensure that the INR 114,400 minimum is protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Make a payment of ZAR 41,976 today. After this payment, you will still have at least ZAR 18,700 available for the next 90 days."
request_170,30480449.435,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,24.7125,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options will maintain the EUR 500 minimum protection.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304, starting 5 June 2024. This leaves at least ZAR 27,200 available."
request_173,62250.91,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 January 2026. None of the available options will maintain the minimum protected amount of INR 79,100."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Make a payment of EUR 2,346.30 today. After this payment, you will still have at least EUR 1,700 available to use over the next 90 days."
request_176,348.965,affordable_later,wait,2025-03-15:1239.70,2025-03-15,none,"Please pay the full amount of EUR 1,239.70 on 15 March 2025. Paying before this date would reduce the balance to less than the required minimum of EUR 600."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Make a payment of USD 1,017.60 today. After this payment, you will still have at least USD 1,300 available to use over the next 90 days."
